Название,Жанр,Выберите поджанр:,Какой аспект войны важен?,Временной период:,Рейтинг
А зори здесь тихие,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.2  
По соображениям совести,Военный,Биографический,Личные драмы солдат,Современное кино (2000–2020),8.1
Долгая дорога домой,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),7.2
На западном фронте без перемен,Военный,Драма,Личные драмы солдат,Новинки (2020–2025),7.8
Спасти рядового Райана,Военный,Драма,Боевые действия,Классика (до 2000 года),8.2
Офицеры,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),8.4
Ревущие двадцатые или судьба солдата в Америке,Военный,Исторический,Личные драмы солдат,Новинки (2020–2025),7.8
Бесславные ублюдки,Военный,Исторический,Партизанские движения,Современное кино (2000–2020),7.8
1917,Военный,Исторический,Личные драмы солдат,Современное кино (2000–2020),7.9
Живые и мертвые,Военный,Драма,Личные драмы солдат,Классика (до 2000 года),7.8
Брестская крепость,Военный,Исторический,Исторические реконструкции,Современное кино (2000–2020),7.8
Дюнкерк,Военный,Исторический,Боевые действия,Современное кино (2000–2020),7.6  
На плечо!,Военный,Драма,Личные драмы солдат,Современное кино (2000–2020),7.3
Герои Шипки,Военный,Исторический,Боевые действия,Классика (до 2000 года),7.2
Праведник,Военный,Исторический,Личные драмы солдат,Новинки (2020–2025),6.8
Цветы войны,Военный,Исторический,Личные драмы солдат,Современное кино (2000–2020),7.5
Стальная хватка,Военный,Боевик (Экшен),Боевые действия,Современное кино (2000–2020),7.2
Снимки нашей планеты и письмена войны,Военный,Исторический,Личные драмы солдат,Новинки (2020–2025),7.5
Жизнь Бенгальского улана,Военный,Исторический,Исторические реконструкции,Современное кино (2000–2020),7.6
Чапаев,Военный,Исторический,Боевые действия,Классика (до 2000 года),8.1
Блокада: Ленинградский метроном. Операция «Искра»,Военный,Исторический,Исторические реконструкции,Новинки (2020–2025),7.2
9 рота,Военный,Драма,Боевые действия,Современное кино (2000–2020),7.8
Т-34,Военный,Исторический,Боевые действия,Современное кино (2000–2020),6.9