Название,Жанр,Выберите поджанр:,Какое настроение ты ищешь?,Временной период:,Рейтинг
Побег из Шоушенка,Драма,Криминал,Вдохновляющее,Классика (до 2000 года),9.1
Зеленая миля,Драма,Фэнтези,Философское,Классика (до 2000 года),9.1
Форрест Гамп,Драма,Исторический,Вдохновляющее,Классика (до 2000 года),9.0
Список Шиндлера,Драма,Биографический,Грустное/Трагическое,Классика (до 2000 года),8.8
BTS: Yet to Come in Cinemas,Драма,Неважно,Вдохновляющее,Новинки (2020–2025),8.1
Паралимпиец,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),7.8
Человек с киноаппаратом,Драма,Неважно,Философское,Классика (до 2000 года),8.0
Зеленая книга,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),8.1
Изгой,Драма,Приключения,Вдохновляющее,Современное кино (2000–2020),8.1  
Осенняя соната,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),8.1
Титаник,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.4  
Логан,Драма,Фантастика,Грустное/Трагическое,Современное кино (2000–2020),7.8  
Капернаум,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),8.0
Мистер Смит едет в Вашингтон,Драма,Криминал,Вдохновляющее,Классика (до 2000 года),8.0
Великая иллюзия,Драма,Военный,Философское,Классика (до 2000 года),7.8  
Тейлор Свифт: The Eras Tour,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),7.8  
Джокер,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),8.0
Унесенные ветром,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.2
Вечное сияние чистого разума,Драма,Фантастика,Философское,Современное кино (2000–2020),8.1  
Вайолет Эвергарден. Фильм,Драма,Биографический,Грустное/Трагическое,Новинки (2020–2025),8.1
Баллада о солдате,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),8.3
La Bohème,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.3
Одна жизнь,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),8.0  
Касабланка,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),8.4
Весна на Заречной улице,Драма,Исторический,Другое,Классика (до 2000 года),7.6  
Ребекка,Драма,Триллер,Грустное/Трагическое,Классика (до 2000 года),7.8  
Гроздья гнева,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.3
Реквием по мечте,Драма,Психологическая драма,Грустное/Трагическое,Современное кино (2000–2020),8.0  
Однажды в Америке,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),8.4  
Горбун Собора Парижской Богоматери,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.7
Отец,Драма,Психологическая драма,Грустное/Трагическое,Новинки (2020–2025),7.8  
Похитители велосипедов,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),8.1
До свидания, мистер Чипс,Драма,Биографический,Вдохновляющее,Классика (до 2000 года),7.5
Американская история Х,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),8.1
Дневник памяти,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),8.1  
Пролетая над гнездом кукушки,Драма,Психологическая драма,Грустное/Трагическое,Классика (до 2000 года),8.6  
Загадочная история Бенджамина Баттона,Драма,Фантастика,Философское,Современное кино (2000–2020),8.4
Эта замечательная жизнь,Драма,Фэнтези,Вдохновляющее,Классика (до 2000 года),8.4
Сибириада,Драма,Исторический,Философское,Классика (до 2000 года),7.8
Я шагаю по Москве,Драма,Исторический,Вдохновляющее,Классика (до 2000 года),8.0
Неотправленное письмо,Драма,Приключения,Грустное/Трагическое,Классика (до 2000 года),7.2  
Человек дождя,Драма,Биографический,Философское,Классика (до 2000 года),8.6
Паразиты,Драма,Криминал,Философское,Современное кино (2000–2020),8.2
Шоу Трумана,Драма,Фантастика,Вдохновляющее,Современное кино (2000–2020),8.1  
Рокки,Драма,Спортивная драма,Вдохновляющее,Классика (до 2000 года),8.1  
Черный лебедь,Драма,Триллер,Грустное/Трагическое,Современное кино (2000–2020),7.6
Миллионер из трущоб,Драма,Криминал,Вдохновляющее,Современное кино (2000–2020),8.1
Где ты, Адам?,Драма,Психологическая драма,Философское,Новинки (2020–2025),7.8  
Король говорит!,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),8.0
Раннее лето,Драма,Семейный,Философское,Классика (до 2000 года),7.7
Дом, в котором я живу,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),7.8
Черный нарцисс,Драма,Неважно,Грустное/Трагическое,Классика (до 2000 года),7.4
Большие надежды,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.5
Три билборда на границе Эббинга, Миссури,Драма,Криминал,Философское,Современное кино (2000–2020),7.8
Судьба человека,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),8.4
Маленькие женщины,Драма,Исторический,Вдохновляющее,Современное кино (2000–2020),7.8
Белая птица. Новое чудо,Драма,Семейный,Вдохновляющее,Новинки (2020–2025),6.5
Ромео и Джульетта,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.7
Банши Инишерина,Драма,Исторический,Грустное/Трагическое,Новинки (2020–2025),7.4
Сладкая жизнь,Драма,Неважно,Философское,Классика (до 2000 года),7.9
Письмо трем женам,Драма,Мелодрама,Философское,Классика (до 2000 года),7.6
Крупная рыба,Драма,Фэнтези,Философское,Современное кино (2000–2020),7.8
Последний самурай,Драма,Исторический,Философское,Современное кино (2000–2020),7.8  
Rammstein: Paris!,Драма,Другое,Другое,Современное кино (2000–2020),7.5
Дурак,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.6
Расемон,Драма,Детектив,Философское,Классика (до 2000 года),8.3
Одержимость,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),8.1
Гамлет,Драма,Исторический,Философское,Классика (до 2000 года),7.8  
Тихий Дон,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.1  
Восход солнца,Драма,Мелодрама,Философское,Классика (до 2000 года),8.1
Идиот,Драма,Исторический,Грустное/Трагическое,Современное кино (2000–2020),8.3  
Портрет Дориана Грея,Драма,Психологическая драма,Философское,Классика (до 2000 года),7.6
Выживший,Драма,Приключения,Вдохновляющее,Современное кино (2000–2020),8.0
В яранге горит огонь,Драма,Исторический,Грустное/Трагическое,Новинки (2020–2025),7.5  
Красота по-американски,Драма,Неважно,Философское,Классика (до 2000 года),7.9
Свет,Драма,Семейный,Грустное/Трагическое,Новинки (2020–2025),6.4
Набережная туманов,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),8.1
Социальная сеть,Драма,Биографический,Философское,Современное кино (2000–2020),8.0
Голубой ангел,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.6
Кентавр,Драма,Семейный,Грустное/Трагическое,Новинки (2020–2025),6.5
Фауст. Народная легенда,Драма,Исторический,Философское,Классика (до 2000 года),7.3
Воспоминания о Марни,Драма,Семейный,Грустное/Трагическое,Современное кино (2000–2020),6.9
Гран Торино,Драма,Криминал,Философское,Современное кино (2000–2020),8.1
Ангелы с грязными лицами,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),8.0  
Бальная записная книжка,Драма,Исторический,Философское,Новинки (2020–2025),7.5  
Летят журавли,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),8.1
Звезда родилась,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.6
Нефть,Драма,Исторический,Другое,Современное кино (2000–2020),6.4  
Дитя погоды,Драма,Фэнтези,Вдохновляющее,Современное кино (2000–2020),7.7
Дело было в Пенькове,Драма,Мелодрама,Вдохновляющее,Классика (до 2000 года),7.8
Убийцы цветочной луны,Драма,Криминал,Философское,Новинки (2020–2025),7.8
Привидение,Драма,Фэнтези,Грустное/Трагическое,Классика (до 2000 года),8.1  
Круэлла,Драма,Криминал,Грустное/Трагическое,Новинки (2020–2025),6.7  
Весна, лето, осень, зима... и снова весна,Драма,Неважно,Философское,Современное кино (2000–2020),7.8
Вступление,Драма,Семейный,Философское,Новинки (2020–2025),7.8
Разные судьбы,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.2
Globe: Доктор Фауст,Драма,Философское,Философское,Новинки (2020–2025),7.4
Семь жизней,Драма,Мелодрама,Философское,Современное кино (2000–2020),7.9
Меня зовут Кхан,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),7.9
Сирано Де Бержерак,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.1
Артист,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),7.6
Укрась прощальное утро цветами обещания,Драма,Мелодрама,Грустное/Трагическое,Новинки (2020–2025),7.5
Чтец,Драма,Криминал,Философское,Современное кино (2000–2020),7.4
Шанхайский экспресс,Драма,Приключения,Философское,Классика (до 2000 года),7.2
Отчий дом,Драма,Семейный,Грустное/Трагическое,Новинки (2020–2025),6.8
В метре друг от друга,Драма,Мелодрама,Грустное/Трагическое,Новинки (2020–2025),7.2  
Боец,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),7.8
Пять сантиметров в секунду,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.9
Жизнь Пи,Драма,Приключения,Философское,Современное кино (2000–2020),7.9
Терминал,Драма,Семейный,Вдохновляющее,Современное кино (2000–2020),8.0
Гордость и предубеждение,Драма,Мелодрама,Другое,Классика (до 2000 года),8.3
Вам и не снилось,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),8.2
Чужестранец,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),8.1
Шинель,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.2
До встречи с тобой,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.5
Без вины виноватые,Драма,Криминал,Грустное/Трагическое,Классика (до 2000 года),7.5
Игра на понижение,Драма,Криминал,Философское,Современное кино (2000–2020),7.8
Конец Санкт-Петербурга,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.2
Живая сталь,Драма,Фантастика,Вдохновляющее,Современное кино (2000–2020),7.2
Мои мамы,Драма,Семейный,Вдохновляющее,Новинки (2020–2025),6.8
Последний дюйм,Драма,Приключения,Вдохновляющее,Классика (до 2000 года),7.6
Деньги господина Арне,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.8  
Иллюзионист,Драма,Исторический,Грустное/Трагическое,Современное кино (2000–2020),7.8
Сталкер,Драма,Фантастика,Философское,Классика (до 2000 года),8.1
Малена,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.6
Молчание,Драма,Исторический,Философское,Современное кино (2000–2020),7.4
Еще по одной,Драма,Комедия,Философское,Новинки (2020–2025),7.6
Сорок первый,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),7.5
Евгений Онегин,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.3
Третья Мещанская,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),6.8
Искупление,Драма,Военный,Грустное/Трагическое,Современное кино (2000–2020),7.9
Добровольцы,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),6.4  
Аталанта,Драма,Мелодрама,Философское,Классика (до 2000 года),7.5
Человек родился,Драма,Семейный,Вдохновляющее,Новинки (2020–2025),7.8
Ушедшие,Драма,Психологическая,Философское,Новинки (2020–2025),7.8  
Далласский клуб покупателей,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),7.8  
Вайолет Эвергарден. Вечность и призрак пера,Драма,Фэнтези,Грустное/Трагическое,Современное кино (2000–2020),7.8
Рестлер,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),7.6
Малхолланд Драйв,Драма,Психологический триллер,Философское,Современное кино (2000–2020),7.7  
Табу,Драма,Исторический,Философское,Современное кино (2000–2020),7.5
Национальный бархат,Драма,Семейный,Вдохновляющее,Классика (до 2000 года),7.1
Легенды осени,Драма,Семейная сага,Грустное/Трагическое,Классика (до 2000 года),8.1  
Сибирский цирюльник,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.6  
Сломанные побеги,Драма,Семейный,Философское,Современное кино (2000–2020),7.0  
Невидимая сторона,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),7.6
Город мальчиков,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.8
Кид Гэлэхэд,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),6.4
Возвращение,Драма,Семейный,Грустное/Трагическое,Современное кино (2000–2020),7.6
Парфюмер: история одного убийцы,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.7
Худший человек на свете,Драма,Криминал,Философское,Новинки (2020–2025),7.2
Восемь с половиной,Драма,Биографический,Философское,Классика (до 2000 года),8.1
Салют-7,Драма,Исторический,Вдохновляющее,Современное кино (2000–2020),7.2  
Почтальон всегда звонит дважды,Драма,Триллер,Грустное/Трагическое,Классика (до 2000 года),7.4  
Поднятая целина,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.4
Воровка книг,Драма,Исторический,Грустное/Трагическое,Современное кино (2000–2020),7.8
Мавританец,Драма,Биографический,Грустное/Трагическое,Новинки (2020–2025),7.1
Белая лента,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.6
Шоколад,Драма,Мелодрама,Вдохновляющее,Современное кино (2000–2020),7.6
Судья,Драма,Криминал,Другое,Современное кино (2000–2020),7.4  
Восемнадцатый год,Драма,Исторический,Грустное/Трагическое,Новинки (2020–2025),6.4
Догвилль,Драма,Криминал,Философское,Современное кино (2000–2020),7.7
Она,Драма,Фантастика,Философское,Современное кино (2000–2020),7.6
Когда мы уходим,Драма,Биографический,Грустное/Трагическое,Новинки (2020–2025),7.8
Вторая жизнь Уве,Драма,Семейный,Вдохновляющее,Современное кино (2000–2020),8.1
Подмена,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.7
Идеальные дни,Драма,Биографический,Философское,Новинки (2020–2025),7.8
Пучина,Драма,Криминал,Другое,Новинки (2020–2025),6.3
Учитель на замену,Драма,Криминал,Философское,Новинки (2020–2025),6.9
Помни меня,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.1
Капитан Филлипс,Драма,Биографический,Другое,Современное кино (2000–2020),7.7
Мертвец,Драма,Приключения,Философское,Классика (до 2000 года),7.6
Аритмия,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),6.9
Опасная игра Слоун,Драма,Криминал,Философское,Современное кино (2000–2020),6.8
Одинокий мужчина,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.6
Я делаю шаг,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),6.2
Один день,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.6
Новый Вавилон,Драма,Исторический,Философское,Новинки (2020–2025),6.8  
Старое и новое (Генеральная линия),Драма,Исторический,Философское,Классика (до 2000 года),7.1
Дорогой мой человек,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.7
Сан-Франциско,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.6
Таланты и поклонники,Драма,Неважно,Вдохновляющее,Классика (до 2000 года),7.4
Бёрдмэн,Драма,Неважно,Философское,Современное кино (2000–2020),7.6
Ангел А,Драма,Фэнтези,Философское,Современное кино (2000–2020),7.2
Удар,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),7.4
Седьмая печать,Драма,Исторический,Философское,Классика (до 2000 года),8.1  
Знакомьтесь, Джо Блэк,Драма,Фэнтези,Философское,Классика (до 2000 года),7.8
Дело храбрых,Драма,Военный,Грустное/Трагическое,Современное кино (2000–2020),7.5  
Лунный свет,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.7
Счастье,Драма,Семейный,Философское,Новинки (2020–2025),7.0
Любой ценой,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),7.0
Жизнь Адель,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.3
Капитан Фантастик,Драма,Семейный,Философское,Современное кино (2000–2020),7.6
Крылья,Драма,Военный,Грустное/Трагическое,Классика (до 2000 года),7.6
Отверженные,Драма,Исторический,Грустное/Трагическое,Современное кино (2000–2020),7.9
Анатомия падения,Драма,Психологический триллер,Философское,Новинки (2020–2025),7.6
Виноваты звезды,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.7
Вавилон,Драма,Исторический,Философское,Новинки (2020–2025),5.9
Приют,Драма,Психологическая драма,Грустное/Трагическое,Современное кино (2000–2020),7.8  
Шпионский мост,Драма,Исторический,Философское,Современное кино (2000–2020),7.6
Пышка,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.2
Нетерпимость,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),8.3
Человек божий,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),6.8
Джейн Эйр,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.3
Человек из ресторана,Драма,Исторический,Грустное/Трагическое,Классика (до 2000 года),7.1
Дьявол - это женщина,Драма,Мелодрама,Грустное/Трагическое,Классика (до 2000 года),7.6
Билли Эллиот,Драма,Семейный,Вдохновляющее,Современное кино (2000–2020),7.8
Претенденты,Драма,Исторический,Вдохновляющее,Современное кино (2000–2020),6.2
Бьютифул,Драма,Психологическая драма,Грустное/Трагическое,Современное кино (2000–2020),7.3  
Каменный цветок,Драма,Фэнтези,Вдохновляющее,Классика (до 2000 года),7.3
Непрощенный,Драма,Криминал,Философское,Классика (до 2000 года),8.0
Король неба,Драма,Исторический,Вдохновляющее,Новинки (2020–2025),7.8
Горбатая гора,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.6
Ураган,Драма,Биографический,Вдохновляющее,Современное кино (2000–2020),7.8  
Нелюбовь,Драма,Семейный,Грустное/Трагическое,Современное кино (2000–2020),7.4
Облачный атлас,Драма,Фантастика,Философское,Современное кино (2000–2020),7.8
12,Драма,Криминал,Философское,Современное кино (2000–2020),7.9
Великий Гэтсби,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.8  
Вторая жизнь Гарольда Фрая,Драма,Приключения,Грустное/Трагическое,Новинки (2020–2025),7.2
Поп,Драма,Криминал,Грустное/Трагическое,Современное кино (2000–2020),6.5
Прошлые жизни,Драма,Психологическая драма,Философское,Новинки (2020–2025),7.8  
Серебряные коньки,Драма,Приключения,Вдохновляющее,Новинки (2020–2025),6.1
Мне бы в небо,Драма,Комедия,Философское,Современное кино (2000–2020),7.5  
Мечта,Драма,Неважно,Вдохновляющее,Новинки (2020–2025),6.2
Фаворитка,Драма,Исторический,Грустное/Трагическое,Современное кино (2000–2020),7.3
Крид 2,Драма,Боевик (Экшен),Вдохновляющее,Современное кино (2000–2020),7.4
Выживут только любовники,Драма,Фантастика,Философское,Современное кино (2000–2020),7.2
Более странно, чем в раю,Драма,Приключения,Философское,Классика (до 2000 года),7.2
Отец Сергий,Драма,Исторический,Философское,Классика (до 2000 года),7.8
Вызов,Драма,Биографический,Вдохновляющее,Новинки (2020–2025),6.2
Патруль,Драма,Военный,Грустное/Трагическое,Современное кино (2000–2020),6.8
Сибирь. Монамур,Драма,Мелодрама,Философское,Новинки (2020–2025),6.9
Воды слонам!,Драма,Мелодрама,Вдохновляющее,Современное кино (2000–2020),7.1
Шесть превращений Яна Пищика,Драма,Криминал,Философское,Новинки (2020–2025),7.8
Призрак оперы,Драма,Мелодрама,Грустное/Трагическое,Современное кино (2000–2020),7.6
У твоего порога,Драма,Криминал,Философское,Новинки (2020–2025),5.8
Эверест,Драма,Приключения,Вдохновляющее,Современное кино (2000–2020),7.2
Почему Бодхидхарма ушел на Восток,Драма,Биографический,Философское,Классика (до 2000 года),7.8
Поезд идет на восток,Драма,Военный,Философское,Классика (до 2000 года),7.2
Глубоководный горизонт,Драма,Биографический,Грустное/Трагическое,Современное кино (2000–2020),7.2