Название,Жанр,Выберите поджанр:,Выбери что тебя смешит:,Временной период:,Рейтинг
1+1,Комедия,Драма,Семейная,Современное кино (2000–2020),8.8  
Джентльмены удачи,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),8.1
Бриллиантовая рука,Комедия,Криминал,Абсурд/Сюр,Классика (до 2000 года),8.7
Великий диктатор,Комедия,Исторический,Абсурд/Сюр,Классика (до 2000 года),8.2
Иван Васильевич меняет профессию,Комедия,Фантастика,Пародия/Мемы,Классика (до 2000 года),8.8
Огни большого города,Комедия,Семейный,Семейная,Классика (до 2000 года),8.5
Новые времена,Комедия,Драма,Абсурд/Сюр,Классика (до 2000 года),8.5
Тонкий человек,Комедия,Детектив,Абсурд/Сюр,Классика (до 2000 года),7.8  
Ханума,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.6
12 стульев,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),8.2  
Любовь и голуби,Комедия,Драма,Семейная,Классика (до 2000 года),8.1
День сурка,Комедия,Фэнтези,Абсурд/Сюр,Классика (до 2000 года),8.2
Служебный роман,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),8.2
Зверополис,Комедия,Детектив,Абсурд/Сюр,Современное кино (2000–2020),8.1  
Цирк,Комедия,Семейный,Семейная,Классика (до 2000 года),7.3
Мой слуга Годфри,Комедия,Драма,Чёрная комедия,Классика (до 2000 года),7.5
Паровоз Генерал,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),7.8
Достучаться до небес,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),8.1
Мимино,Комедия,Драма,Семейная,Классика (до 2000 года),8.1
Ночь в опере,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),7.6
Шведская спичка,Комедия,Детектив,Пародия/Мемы,Новинки (2020–2025),5.8
С собой не унесешь,Комедия,Семейный,Абсурд/Сюр,Новинки (2020–2025),7.5  
Филадельфийская история,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.6
Магазинчик за углом,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),8.1
Свалкармония,Комедия,Приключения,Абсурд/Сюр,Новинки (2020–2025),7.0
Зальцбург-100: Богема,Комедия,Мелодрама,Абсурд/Сюр,Новинки (2020–2025),6.9
Добро пожаловать, или Посторонним вход воспрещен,Комедия,Семейный,Семейная,Классика (до 2000 года),7.8
Малыш,Комедия,Фантастика,Абсурд/Сюр,Современное кино (2000–2020),7.1
Золотая лихорадка,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),8.2
Дэдпул,Комедия,Фантастика,Чёрная комедия,Современное кино (2000–2020),7.3
Девчата,Комедия,Семейный,Семейная,Классика (до 2000 года),8.2  
Один дома,Комедия,Семейный,Семейная,Классика (до 2000 года),8.1
Подарок для самого слабого,Комедия,Семейный,Семейная,Новинки (2020–2025),6.8
Воспитание крошки,Комедия,Семейный,Семейная,Новинки (2020–2025),7.5
Шрэк 2,Комедия,Фэнтези,Семейная,Современное кино (2000–2020),7.8  
Утиный суп,Комедия,Приключения,Пародия/Мемы,Классика (до 2000 года),7.8
В добрый час,Комедия,Семейный,Семейная,Классика (до 2000 года),7.6
Охотники за привидениями,Комедия,Фантастика,Абсурд/Сюр,Классика (до 2000 года),7.8
Максим Перепелица,Комедия,Военный,Абсурд/Сюр,Классика (до 2000 года),7.3
Гадкий утёнок,Комедия,Семейный,Семейная,Современное кино (2000–2020),6.8  
Бедные-несчастные,Комедия,Семейный,Семейная,Новинки (2020–2025),7.5  
Амели,Комедия,Фантастика,Абсурд/Сюр,Современное кино (2000–2020),8.1  
Пасхальный парад,Комедия,Семейный,Романтическая,Классика (до 2000 года),7.4
Пигмалион,Комедия,Драма,Романтическая,Классика (до 2000 года),7.4
Маска,Комедия,Фантастика,Абсурд/Сюр,Классика (до 2000 года),7.6
День получки,Комедия,Семейный,Семейная,Новинки (2020–2025),6.5  
Остров ошибок,Комедия,Приключения,Абсурд/Сюр,Новинки (2020–2025),6.8  
Три плюс два,Комедия,Семейный,Семейная,Современное кино (2000–2020),6.8  
Одиннадцать друзей Оушена,Комедия,Криминал,Абсурд/Сюр,Современное кино (2000–2020),7.8  
Мальчишник в Вегасе,Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),7.3
Три дровосека,Комедия,Семейный,Семейная,Новинки (2020–2025),7.4
Петя и Красная Шапочка,Комедия,Семейный,Семейная,Новинки (2020–2025),5.8
Дэдпул 2,Комедия,Боевик (Экшен),Чёрная комедия,Современное кино (2000–2020),7.5
Люди в черном,Комедия,Фантастика,Абсурд/Сюр,Классика (до 2000 года),7.8
Его девушка Пятница,Комедия,Детектив,Абсурд/Сюр,Классика (до 2000 года),7.8
Веселый развод,Комедия,Семейный,Семейная,Новинки (2020–2025),6.5
Убойные каникулы,Комедия,Криминал,Абсурд/Сюр,Современное кино (2000–2020),6.8
Карнавальная ночь,Комедия,Семейный,Пародия/Мемы,Классика (до 2000 года),8.2
Добро пожаловать в Зомбилэнд,Комедия,Ужасы,Чёрная комедия,Современное кино (2000–2020),7.3
Отель "Гранд Будапешт",Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),7.9
О чем говорят мужчины,Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),7.2
Неподдающиеся,Комедия,Семейный,Семейная,Новинки (2020–2025),7.8
Главный герой,Комедия,Фантастика,Абсурд/Сюр,Новинки (2020–2025),7.1
Верные друзья,Комедия,Приключения,Абсурд/Сюр,Классика (до 2000 года),8.0
Мегамозг,Комедия,Фантастика,Пародия/Мемы,Современное кино (2000–2020),7.8
Идеальные незнакомцы,Комедия,Драма,Абсурд/Сюр,Современное кино (2000–2020),7.2
Дикие истории,Комедия,Криминал,Чёрная комедия,Современное кино (2000–2020),7.8
Трио из Бельвилля,Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),7.5
Залечь на дно в Брюгге,Комедия,Криминал,Чёрная комедия,Современное кино (2000–2020),7.7
Сердца четырех,Комедия,Семейный,Семейная,Классика (до 2000 года),7.7
Красотка,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.9
Маменькины сынки,Комедия,Семейный,Семейная,Новинки (2020–2025),6.2
Арахисовый сокол,Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),7.1
Музыкальная история,Комедия,Семейный,Семейная,Классика (до 2000 года),7.2
Холостяк и девчонка,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),7.5
Девушка с характером,Комедия,Семейный,Семейная,Классика (до 2000 года),7.4  
Скромное обаяние буржуазии,Комедия,Драма,Чёрная комедия,Классика (до 2000 года),7.8
Остров собак,Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),7.6
Пропавшая грамота,Комедия,Исторический,Абсурд/Сюр,Новинки (2020–2025),6.4
Шахматная горячка,Комедия,Приключения,Пародия/Мемы,Классика (до 2000 года),6.9
Ревизор,Комедия,Исторический,Абсурд/Сюр,Классика (до 2000 года),7.5
Хоккейные папы,Комедия,Семейный,Семейная,Новинки (2020–2025),6.4
Бойфренд из будущего,Комедия,Фантастика,Романтическая,Новинки (2020–2025),6.9
Час пик,Комедия,Боевик (Экшен),Пародия/Мемы,Классика (до 2000 года),7.2
Реальная любовь,Комедия,Семейный,Романтическая,Современное кино (2000–2020),7.8  
Чудак из 5 «Б»,Комедия,Семейный,Семейная,Классика (до 2000 года),7.9
2+1,Комедия,Семейный,Семейная,Современное кино (2000–2020),7.3
Время свинга,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.1
Ранго,Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),6.8  
Чего хотят женщины,Комедия,Мелодрама,Романтическая,Современное кино (2000–2020),7.2
Лакричная пицца,Комедия,Драма,Романтическая,Новинки (2020–2025),7.0
Подкидыш,Комедия,Семейный,Семейная,Классика (до 2000 года),7.7
Джуманджи: Зов джунглей,Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),6.8
Это случилось однажды ночью,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.7
Поехавшая,Комедия,Приключения,Абсурд/Сюр,Новинки (2020–2025),5.9
Оранжевое горлышко,Комедия,Приключения,Абсурд/Сюр,Новинки (2020–2025),7.2
Солдат Иван Бровкин,Комедия,Военный,Семейная,Классика (до 2000 года),7.6
Камон Камон,Комедия,Семейная,Абсурд/Сюр,Новинки (2020–2025),7.8  
Увольнение в город,Комедия,Мелодрама,Романтическая,Классика (до 2000 года),7.3
Мой парень - псих,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),6.8
Ральф против интернета,Комедия,Фантастика,Абсурд/Сюр,Современное кино (2000–2020),7.2
Доспехи Бога,Комедия,Боевик (Экшен),Абсурд/Сюр,Классика (до 2000 года),7.5  
Полночь в Париже,Комедия,Фэнтези,Романтическая,Современное кино (2000–2020),7.5
Миграция,Комедия,Семейный,Семейная,Новинки (2020–2025),6.8
Всегда говори "Да",Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),7.2
Неадекватные люди,Комедия,Драма,Чёрная комедия,Современное кино (2000–2020),6.8
Предложение,Комедия,Мелодрама,Романтическая,Современное кино (2000–2020),6.9
День выборов,Комедия,Криминал,Пародия/Мемы,Современное кино (2000–2020),7.1
500 дней лета,Комедия,Драма,Романтическая,Современное кино (2000–2020),7.6
Час пик 2,Комедия,Криминал,Абсурд/Сюр,Современное кино (2000–2020),7.0
Влюбись в меня, если осмелишься,Комедия,Мелодрама,Романтическая,Новинки (2020–2025),7.5  
Брюс Всемогущий,Комедия,Фантастика,Абсурд/Сюр,Современное кино (2000–2020),7.2
Камуфляж и шпионаж,Комедия,Приключения,Пародия/Мемы,Новинки (2020–2025),7.1
Мы - Миллеры,Комедия,Приключения,Абсурд/Сюр,Современное кино (2000–2020),7.2
Стажер,Комедия,Семейный,Семейная,Современное кино (2000–2020),7.1
История Рыцаря,Комедия,Исторический,Абсурд/Сюр,Современное кино (2000–2020),7.6
Холоп,Комедия,Семейный,Абсурд/Сюр,Современное кино (2000–2020),6.8
Французский вестник. Приложение к газете «Либерти. Канзас ивнинг сан»,Комедия,Драма,Чёрная комедия,Новинки (2020–2025),6.8
Лего Фильм: Бэтмен,Комедия,Семейный,Абсурд/Сюр,Современное кино (2000–2020),7.5  
Кунг-фу жеребец,Комедия,Приключения,Абсурд/Сюр,Новинки (2020–2025),5.5
Ссудная лавка,Комедия,Криминал,Чёрная комедия,Новинки (2020–2025),7.4  