Название,Жанр,Выберите поджанр:,Какие темы важны?,Временной период:,Рейтинг
Король Лев,Семейный,Приключения,Межпоколенческие драмы,Классика (до 2000 года),8.8
Мой мир SHINee,Семейный,Драма,Межпоколенческие драмы,Современное кино (2000–2020),7.8
Ну, погоди!,Семейный,Комедия,Истории с животными,Классика (до 2000 года),8.9
Трое из Простоквашино,Семейный,Комедия,Детские приключения,Классика (до 2000 года),8.5
Тайна Коко,Семейный,Приключения,Межпоколенческие драмы,Современное кино (2000–2020),8.1
Хатико: самый верный друг,Семейный,Драма,Истории с животными,Современное кино (2000–2020),8.5
Кот в сапогах 2: Последнее желание,Семейный,Приключения,Истории с животными,Новинки (2020–2025),7.8
BTS: Love Yourself Tour in Seoul,Семейный,Неважно,Семейные комедии,Современное кино (2000–2020),8.3
Как приручить дракона,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),8.1
Душа,Семейный,Фэнтези,Межпоколенческие драмы,Новинки (2020–2025),7.8
Наконец в безопасности,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),6.8
Корпорация Монстров,Семейный,Фантастика,Детские приключения,Современное кино (2000–2020),8.1
Шрэк,Семейный,Фэнтези,Семейные комедии,Современное кино (2000–2020),8.1
Рататуй,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),8.1  
Рапунцель: Запутанная История,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.8
Ежик в тумане,Семейный,Приключения,Детские приключения,Классика (до 2000 года),8.5
Свадьба,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),6.8
Шаг к мечте: Раз и нсегда,Семейный,Приключения,Детские приключения,Новинки (2020–2025),6.9
Вверх,Семейный,Приключения,Межпоколенческие драмы,Современное кино (2000–2020),8.2
История игрушек: Большой побег,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),8.0
Мышонок Пик,Семейный,Приключения,Истории с животными,Новинки (2020–2025),5.8
Мой сосед Тоторо,Семейный,Фэнтези,Детские приключения,Классика (до 2000 года),8.3
Ледниковый период,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.6  
Волк и теленок,Семейный,Комедия,Истории с животными,Новинки (2020–2025),7.5
Кунг-Фу Панда,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.8
Я купил папу,Семейный,Комедия,Семейные комедии,Новинки (2020–2025),6.9
Элементарно,Семейный,Приключения,Семейные комедии,Новинки (2020–2025),7.8
Зверопой 2,Семейный,Приключения,Истории с животными,Новинки (2020–2025),7.3
Головоломка,Семейный,Приключения,Межпоколенческие драмы,Современное кино (2000–2020),7.8
Ральф,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.8
Собачья жизнь 2,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.4
Золотая антилопа,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.8
Моана,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.8
В поисках Немо,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),8.1
Гадкий я,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),7.8
Мой Хатико,Семейный,Драма,Истории с животными,Современное кино (2000–2020),8.4  
Сказка о рыбаке и рыбке,Семейный,Приключения,Детские приключения,Классика (до 2000 года),8.1
Снежная королева,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),6.8
Заколдованный мальчик,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.6
Храбрый олененок,Семейный,Приключения,Истории с животными,Новинки (2020–2025),7.8  
Летняя поездка к морю,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.1
Каштанка,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.1
Золушка,Семейный,Фэнтези,Межпоколенческие драмы,Классика (до 2000 года),7.6
Лука,Семейный,Приключения,Семейные комедии,Новинки (2020–2025),7.4  
Ночь перед Рождеством,Семейный,Комедия,Детские приключения,Классика (до 2000 года),7.8
Приключения Паддингтона 2,Семейный,Комедия,Истории с животными,Современное кино (2000–2020),7.8
Конек-Горбунок,Семейный,Фэнтези,Истории с животными,Новинки (2020–2025),5.7
Кошкин дом,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.4
Девочка и крокодил,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.0
Питер Пэн,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),7.1
Гуси-лебеди,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.9
Суперсемейка 2,Семейный,Фантастика,Детские приключения,Современное кино (2000–2020),7.7  
101 далматинец,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.8
Ореховый прутик,Семейный,Драма,Межпоколенческие драмы,Современное кино (2000–2020),6.8
Энканто,Семейный,Фэнтези,Межпоколенческие драмы,Новинки (2020–2025),7.6
Сказка о мертвой царевне и семи богатырях,Семейный,Приключения,Детские приключения,Новинки (2020–2025),6.4
Братья Супер Марио в кино,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.0
Университет монстров,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),7.7
Океаны,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.8
Собачья жизнь,Семейный,Драма,Истории с животными,Современное кино (2000–2020),7.3
Рыбка Поньо на утесе,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.8
Кунг-Фу Панда 2,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.3
Одаренная,Семейный,Драма,Межпоколенческие драмы,Современное кино (2000–2020),7.7
Дружок,Семейный,Приключения,Истории с животными,Новинки (2020–2025),7.4
Суперпитомцы,Семейный,Приключения,Истории с животными,Новинки (2020–2025),6.2
Алеша Попович и Тугарин Змей,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),6.8  
Анастасия,Семейный,Исторический,Межпоколенческие драмы,Классика (до 2000 года),7.8
Спирит: Душа прерий,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),8.1
Пиноккио,Семейный,Приключения,Детские приключения,Новинки (2020–2025),6.8
Серая Шейка,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.4
Храбрый заяц,Семейный,Комедия,Детские приключения,Новинки (2020–2025),7.5
Королевство Кривых Зеркал,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.5
Семья по-быстрому,Семейный,Комедия,Семейные комедии,Новинки (2020–2025),6.8
Стрела улетает в сказку,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.5
Белоснежка и семь гномов,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.7
Холодное сердце 2,Семейный,Фэнтези,Семейные комедии,Современное кино (2000–2020),7.4  
Земля,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.2
Мост в Терабитию,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.8
История игрушек 4,Семейный,Приключения,Межпоколенческие драмы,Современное кино (2000–2020),7.8
Рио,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.3
Расправь крылья,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.5
Семейка Крудс,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.7
Ледниковый период 3: Эра динозавров,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.0
Гадкий я 2,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),7.2
Сестрица Алёнушка и братец Иванушка,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),6.5
Храбрая сердцем,Семейный,Фэнтези,Межпоколенческие драмы,Современное кино (2000–2020),7.8
Вонка,Семейный,Фэнтези,Детские приключения,Новинки (2020–2025),7.386
Аладдин,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.8
Волшебная страна,Семейный,Приключения,Детские приключения,Новинки (2020–2025),6.8
Город Кошек,Семейный,Приключения,Истории с животными,Новинки (2020–2025),6.9
Леди Баг и Супер-Кот: пробуждение силы,Семейный,Приключения,Детские приключения,Новинки (2020–2025),7.8
Шазам!,Семейный,Фэнтези,Детские приключения,Современное кино (2000–2020),7.0
Олененок,Семейный,Приключения,Истории с животными,Новинки (2020–2025),6.5
Чук и Гек,Семейный,Приключения,Детские приключения,Классика (до 2000 года),7.8
Приключения пингвиненка Лоло,Семейный,Приключения,Истории с животными,Классика (до 2000 года),7.7
Сестренка,Семейный,Драма,Межпоколенческие драмы,Современное кино (2000–2020),7.2
Пальма,Семейный,Драма,Истории с животными,Новинки (2020–2025),7.5  
Вольт,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.4
Монстры на каникулах,Семейный,Комедия,Семейные комедии,Современное кино (2000–2020),7.7
Большая семья,Семейный,Драма,Межпоколенческие драмы,Классика (до 2000 года),7.6
Мадагаскар 3,Семейный,Приключения,Истории с животными,Современное кино (2000–2020),7.1
Принцесса и лягушка,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.4
Ледниковый период 2: Глобальное потепление,Семейный,Приключения,Детские приключения,Современное кино (2000–2020),7.0  